LogTimestamp,BarTimestamp,Symbol,Timeframe,BarOpen,BarHigh,BarLow,BarClose,BarVolume,BarSpread
2026-04-02T13:02:55.6609489Z,2026-04-02T13:01:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2045,1.2046,44,0.00020000000000020002
2026-04-02T13:03:00.8721119Z,2026-04-02T13:02:00.0000000Z,AUDNZD,M1,1.2046,1.2046,1.2044,1.2045,44,0.00010000000000021103
2026-04-02T13:04:04.3554806Z,2026-04-02T13:03:00.0000000Z,AUDNZD,M1,1.2046,1.2046,1.2045,1.2045,22,0.00010000000000021103
2026-04-02T13:05:02.2669765Z,2026-04-02T13:04:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2045,1.2046,35,0.00020000000000020002
2026-04-02T13:06:00.5610762Z,2026-04-02T13:05:00.0000000Z,AUDNZD,M1,1.2045,1.2047,1.2045,1.2047,39,9.999999999998899E-05
2026-04-02T13:07:10.9968319Z,2026-04-02T13:06:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2046,1.2047,43,0.00020000000000020002
2026-04-02T13:08:03.4579033Z,2026-04-02T13:07:00.0000000Z,AUDNZD,M1,1.2046,1.2048,1.2046,1.2047,30,0.00020000000000020002
2026-04-02T13:09:07.3419713Z,2026-04-02T13:08:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2046,1.2047,38,0.00019999999999997797
2026-04-02T13:10:02.6273764Z,2026-04-02T13:09:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2046,1.2047,25,9.999999999998899E-05
2026-04-02T13:11:03.5066043Z,2026-04-02T13:10:00.0000000Z,AUDNZD,M1,1.2047,1.2049,1.2047,1.2048,43,0.00019999999999997797
2026-04-02T13:12:01.8929228Z,2026-04-02T13:11:00.0000000Z,AUDNZD,M1,1.2048,1.2049,1.2048,1.2049,38,0.00019999999999997797
2026-04-02T13:13:07.3766710Z,2026-04-02T13:12:00.0000000Z,AUDNZD,M1,1.2049,1.2049,1.2048,1.2048,40,0.00019999999999997797
2026-04-02T13:14:04.4905581Z,2026-04-02T13:13:00.0000000Z,AUDNZD,M1,1.2048,1.2048,1.2047,1.2048,18,0.00019999999999997797
2026-04-02T13:15:01.4966792Z,2026-04-02T13:14:00.0000000Z,AUDNZD,M1,1.2048,1.2048,1.2047,1.2048,22,0.00019999999999997797
2026-04-02T13:16:00.6598903Z,2026-04-02T13:15:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2047,1.2047,49,9.999999999998899E-05
2026-04-02T13:17:00.0860416Z,2026-04-02T13:16:00.0000000Z,AUDNZD,M1,1.2047,1.2049,1.2047,1.2048,42,9.999999999998899E-05
2026-04-02T13:18:20.6567508Z,2026-04-02T13:17:00.0000000Z,AUDNZD,M1,1.2049,1.2049,1.2048,1.2049,37,0.00019999999999997797
2026-04-02T13:19:02.2746989Z,2026-04-02T13:18:00.0000000Z,AUDNZD,M1,1.2048,1.2049,1.2048,1.2048,23,9.999999999998899E-05
2026-04-02T13:20:00.3573527Z,2026-04-02T13:19:00.0000000Z,AUDNZD,M1,1.2049,1.2049,1.2048,1.2048,51,0.00019999999999997797
2026-04-02T13:21:03.2036451Z,2026-04-02T13:20:00.0000000Z,AUDNZD,M1,1.2048,1.2049,1.2048,1.2049,58,0.00019999999999997797
2026-04-02T13:22:02.4889906Z,2026-04-02T13:21:00.0000000Z,AUDNZD,M1,1.2049,1.205,1.2049,1.2049,32,0.00019999999999997797
2026-04-02T13:23:01.9001470Z,2026-04-02T13:22:00.0000000Z,AUDNZD,M1,1.2049,1.2049,1.2047,1.2048,34,0.00019999999999997797
2026-04-02T13:24:00.5547662Z,2026-04-02T13:23:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2046,1.2046,37,9.999999999998899E-05
2026-04-02T13:25:00.2948413Z,2026-04-02T13:24:00.0000000Z,AUDNZD,M1,1.2047,1.2047,1.2046,1.2047,21,0.00020000000000020002
2026-04-02T13:26:04.2412549Z,2026-04-02T13:25:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2046,1.2047,28,0.00020000000000020002
2026-04-02T13:27:11.5460759Z,2026-04-02T13:26:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2046,1.2046,20,0.00020000000000020002
2026-04-02T13:28:03.0557951Z,2026-04-02T13:27:00.0000000Z,AUDNZD,M1,1.2046,1.2046,1.2046,1.2046,32,0.00020000000000020002
2026-04-02T13:29:16.7038014Z,2026-04-02T13:28:00.0000000Z,AUDNZD,M1,1.2046,1.2048,1.2046,1.2047,26,0.00019999999999997797
2026-04-02T13:30:01.5350465Z,2026-04-02T13:29:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2046,1.2047,40,0.00019999999999997797
2026-04-02T13:31:02.1566526Z,2026-04-02T13:30:00.0000000Z,AUDNZD,M1,1.2047,1.2048,1.2046,1.2047,59,9.999999999998899E-05
2026-04-02T13:32:06.7108471Z,2026-04-02T13:31:00.0000000Z,AUDNZD,M1,1.2047,1.2047,1.2046,1.2046,44,0.00010000000000021103
2026-04-02T13:33:00.0977639Z,2026-04-02T13:32:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2045,1.2046,25,0.00020000000000020002
2026-04-02T13:34:03.6053318Z,2026-04-02T13:33:00.0000000Z,AUDNZD,M1,1.2046,1.2047,1.2045,1.2047,42,0.00020000000000020002
